24,
30,43,84,29,43,87,32,57,12,34,39,23,20,13,23,14,56,34,23,34,34,23,56,64,
57,20,34,87,14,56,45,32,34,23,14,56,34,23,23,14,56,34,23,64,35,65,34,35,
39,23,20,13,99,33,87,32,76,10,28,45,81,91,23,14,56,34,23,23,14,56,34,23,
87,99,33,50,32,64,42,12,45,23,35,57,35,24,45,21,15,45,45,13,99,19,30,43,
29,45,84,29,43,87,99,84,54,43,23,46,34,34,23,56,64,62,23,43,87,99,33,50,
33,54,12,34,13,64,35,65,34,20,13,99,33,87,32,76,23,35,57,99,33,54,12,34,
23,46,34,34,23,56,64,62,23,32,57,20,34,87,14,56,45,32,34,99,33,54,12,34,
35,57,35,24,45,21,15,45,45,46,34,34,23,56,64,62,23,10,28,64,62,23,10,28,
20,13,99,19,30,43,34,23,11,20,13,99,33,87,32,76,23,35,57,64,62,23,10,28,
28,45,81,91,23,14,56,34,23,19,30,43,84,29,43,87,32,57,12,43,87,99,33,50,
30,43,84,29,43,87,32,57,12,23,35,57,35,24,45,21,15,45,45,64,62,23,10,28,
57,20,34,87,14,56,45,32,34,23,35,57,35,24,45,21,15,45,21,64,62,23,10,28,
39,23,20,13,99,33,87,32,76,23,35,57,35,24,45,21,15,45,45,43,87,99,33,50,
87,99,33,50,32,64,42,12,45,10,28,45,81,91,23,14,56,34,23,20,13,99,19,30,
29,45,84,29,43,87,99,84,54,23,35,57,35,24,45,21,15,45,45,99,33,54,12,34,
33,54,12,34,13,64,35,65,34,23,20,13,99,19,30,43,34,23,11,13,99,19,30,43,
23,46,34,34,23,56,64,62,23,10,28,45,81,91,23,14,56,34,23,64,62,23,10,28,
35,57,35,24,45,21,15,45,45,23,20,13,99,19,30,43,34,23,11,43,87,99,33,50,
20,13,99,19,30,43,34,23,11,32,57,20,34,87,14,56,45,32,34,64,62,23,10,28,
29,45,84,29,43,87,99,84,54,20,13,99,33,87,32,76,23,35,57,43,87,99,33,50,
33,54,12,34,13,64,35,65,34,43,23,46,34,34,23,56,64,62,23,64,62,23,10,28,
23,46,34,34,23,56,64,62,23,23,20,13,99,19,30,43,34,23,11,13,99,19,30,43,
35,57,35,24,45,21,15,45,45,23,20,13,99,19,30,43,34,23,11,43,87,99,33,50,
20,13,99,19,30,43,34,23,11,46,34,34,23,56,64,62,23,10,28,20,13,99,19,30,
